collection,unit,section,chapter,content_type,activity_type,topic,level,status,qa,word_count,summary,title
tricolore-2-5th-edition,page-001,,,[cover],cover,none,mixed,verified,pass,11,"Cover page for Tricolore 2, 5th edition, by Honnor, Mascie-Taylor, Spencer",Tricolore 2
tricolore-2-5th-edition,page-002,,,[cover],cover,none,mixed,verified,pass,43,"Blank inside front cover page, no printed text",
tricolore-2-5th-edition,page-003,,,[cover],cover,none,mixed,verified,pass,13,Title page repeating book cover details and publisher,Tricolore 2
tricolore-2-5th-edition,page-004,none,,[intro],none,none,,verified,pass,289,"Copyright, printing, and publisher information for Tricolore 2",OXFORD
tricolore-2-5th-edition,page-005,none,,"[picture-story, vocabulary]",vocabulary,travel,A2,verified,pass,612,"Illustrated map of France with regions, cities, rivers, and fact box",A2 (inferred)
tricolore-2-5th-edition,page-006,none,,[toc],none,none,A2,verified,pass,858,Table of contents for Unit 1 (shopping) and Unit 2 (travel),Table des matières
tricolore-2-5th-edition,page-007,none,,[toc],none,none,mixed,verified,pass,825,"Table of contents listing Units 4, 5, 6 topics and grammar",A2 (inferred)
tricolore-2-5th-edition,page-008,none,,[toc],none,none,mixed,verified,pass,558,"Table of contents for Unit 7, 8, and reference sections",Table des matières
tricolore-2-5th-edition,page-009,none,,"[intro, instructions]",instructions,none,mixed,verified,pass,498,Explains icons and features used throughout the Tricolore 2 course,Course information
tricolore-2-5th-edition,page-010,listening,1 En ville,"[chapter-opener, exercise, vocabulary, grammar-box, picture-story]",fill-in,shopping,A2,verified,pass,443,Fill-in dialogue matching French food shops to their products,unité 1 En ville
tricolore-2-5th-edition,page-011,listening,1 En ville,"[exercise, grammar-box, vocabulary]",fill-in,shopping,A2,verified,pass,434,Order shops visited and fill in partitive articles for shopping,1 En ville
tricolore-2-5th-edition,page-012,grammar,1B On vend ça,"[lesson, exercise, grammar-box, dialogue]",fill-in,shopping,A2,verified,pass,490,Multiple-choice and fill-in practice with vendre and -re verbs,1B On vend ça
tricolore-2-5th-edition,page-013,writing,1 En ville,"[exercise, picture-story, dialogue, vocabulary]",fill-in,shopping,mixed,verified,pass,410,Dice speaking game and fill-in comic story with -re verbs,1 En ville
tricolore-2-5th-edition,page-014,speaking,1C Combien?,"[lesson, instructions, exercise, grammar-box, vocabulary]",matching,shopping,A2,verified,pass,500,Match shopping quantities to items and listen for amounts bought,1C Combien?
tricolore-2-5th-edition,page-015,listening,1 En ville,"[exercise, listening-sheet, dialogue, vocabulary, grammar-box]",multiple-choice,shopping,A2,verified,pass,616,Multiple-choice prices and role-play dialogue for buying food items,1 En ville
tricolore-2-5th-edition,page-016,listening,1D Il n'y en a plus?,"[exercise, listening-sheet, grammar-box, picture-story, dialogue, vocabulary]",true-false,shopping,A2,transcribed,fail,655,True/false listening about a shopkeeper's stock and negative expressions,1D Il n'y en a plus?
tricolore-2-5th-edition,page-017,reading,1 En ville,"[picture-story, exercise, dialogue, grammar-box]",fill-in,shopping,A2,verified,pass,643,Match shopping comic captions and fill in partitive/negative articles,1 En ville
tricolore-2-5th-edition,page-018,reading,1E À toi de choisir,"[lesson, exercise, grammar-box, reading-text, vocabulary, picture-story]",matching,shopping,mixed,verified,pass,601,Match sentence endings and read about markets using -ir verbs,1E À toi de choisir
tricolore-2-5th-edition,page-019,grammar,1 En ville,"[exercise, dialogue, vocabulary]",fill-in,mixed,A2,verified,pass,443,Fill in choisir/finir forms in a story about planning a party,1 En ville
tricolore-2-5th-edition,page-020,reading,1 En ville,"[lesson, chapter-opener, reading-text, grammar-box, exercise]",true-false,shopping,A2,verified,pass,526,True/false reading about French shop opening hours and closures,A2 (inferred)
