collection,unit,section,content_type,activity_type,topic,level,status,qa,word_count,summary,title
goethe-a1-sd1-exam-training-2,page-001,,[cover],cover,none,A1,verified,pass,21,Front cover of Goethe-Zertifikat A1 Start Deutsch 1 practice set.,A1
goethe-a1-sd1-exam-training-2,page-002,,[intro],none,none,A1,verified,pass,22,Publisher and copyright imprint page.,© Goethe-Institut e.V.
goethe-a1-sd1-exam-training-2,page-003,,"[cover, toc]",cover,none,A1,verified,pass,94,Title page with table of contents listing exam sections.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-004,,[],none,none,A1,verified,pass,2,Blank page.,Seite 2
goethe-a1-sd1-exam-training-2,page-005,,[intro],instructions,none,A1,verified,pass,174,Foreword describing the A1 exam scope and structure.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-006,,[],none,none,A1,verified,pass,2,Blank page.,Seite 4
goethe-a1-sd1-exam-training-2,page-007,hoeren,"[intro, instructions]",instructions,none,A1,verified,pass,61,Listening section intro and general instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-008,hoeren,"[instructions, exercise]",multiple-choice,personal-info,A1,verified,pass,70,Listening Teil 1 instructions with worked example about room number.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-009,hoeren,[exercise],multiple-choice,mixed,A1,verified,pass,112,"Listening multiple-choice questions on clothing, food, museum hours.",Hören
goethe-a1-sd1-exam-training-2,page-010,hoeren,[exercise],multiple-choice,mixed,A1,verified,pass,62,"Listening multiple-choice on sport, holiday, flight duration.",Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-011,hoeren,"[exercise, listening-sheet]",true-false,travel-transport,A1,verified,pass,87,Listening Teil 2 true-false announcements at station and airport.,Hören
goethe-a1-sd1-exam-training-2,page-012,hoeren,[exercise],multiple-choice,communication,A1,verified,pass,89,Listening Teil 3 multiple-choice on phone calls and plans.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-013,hoeren,[exercise],multiple-choice,free-time,A1,verified,pass,68,Listening multiple-choice on meeting place and time.,Hören
goethe-a1-sd1-exam-training-2,page-014,,[],none,none,A1,verified,pass,34,Blank page with only footer and logos.,"<!-- This page is essentially blank. Only footer, page banner, and Goethe-Institut logos a"
goethe-a1-sd1-exam-training-2,page-015,lesen,"[intro, instructions]",instructions,none,A1,verified,pass,76,Reading and Writing section intro and instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-016,lesen,"[instructions, reading-text, exercise]",reading-comprehension,travel-transport,A1,verified,pass,165,Reading Teil 1 true-false about email planning a Weimar meeting.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-017,lesen,"[reading-text, exercise]",reading-comprehension,free-time,A1,verified,pass,130,Reading true-false about a sports club summer excursion.,Lesen
goethe-a1-sd1-exam-training-2,page-018,lesen,"[instructions, exercise, reading-text]",reading-comprehension,home,A1,verified,pass,129,Reading Teil 2 matching websites for weather and housing.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-019,lesen,[exercise],reading-comprehension,travel-transport,A1,verified,pass,167,Reading matching websites for airport transport and holiday trips.,Lesen
goethe-a1-sd1-exam-training-2,page-020,lesen,"[exercise, reading-text]",reading-comprehension,home,A1,verified,pass,143,Reading matching websites for holiday rentals and football.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-021,lesen,"[instructions, exercise, reading-text]",reading-comprehension,city-places,A1,verified,pass,120,"Reading Teil 3 true-false on public notices, tickets.",Lesen
goethe-a1-sd1-exam-training-2,page-022,lesen,"[exercise, reading-text]",reading-comprehension,city-places,A1,verified,pass,98,Reading true-false about hotel door and restaurant hours.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-023,lesen,"[exercise, reading-text]",reading-comprehension,city-places,A1,verified,pass,73,Reading true-false about club film night and station counters.,Lesen
goethe-a1-sd1-exam-training-2,page-024,schreiben,"[instructions, writing-prompt]",fill-in,personal-info,A1,verified,pass,195,Writing Teil 1 filling a language-school registration form.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-025,schreiben,[writing-prompt],writing-task,communication,A1,verified,pass,66,Writing Teil 2 email inviting a friend to a birthday.,Schreiben
goethe-a1-sd1-exam-training-2,page-026,,[],none,none,A1,verified,pass,2,Blank page.,Seite 24
goethe-a1-sd1-exam-training-2,page-027,sprechen,[instructions],instructions,none,A1,verified,pass,26,Speaking section intro and general instructions.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-028,sprechen,[speaking-prompt],speaking-task,personal-info,A1,verified,pass,20,Speaking Teil 1 self-introduction prompt keywords.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-029,sprechen,[speaking-prompt],speaking-task,free-time,A1,verified,pass,83,Speaking Teil 2 word cards on weekend theme.,Sprechen
goethe-a1-sd1-exam-training-2,page-030,sprechen,[speaking-prompt],speaking-task,daily-routine,A1,verified,pass,80,Speaking Teil 2 word cards on school theme.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-031,sprechen,[speaking-prompt],speaking-task,mixed,A1,verified,pass,106,Speaking Teil 3 picture cards for making requests.,Sprechen
goethe-a1-sd1-exam-training-2,page-032,sprechen,[speaking-prompt],speaking-task,mixed,A1,verified,pass,97,Speaking Teil 3 further picture cards for requests.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-033,,[toc],instructions,none,A1,verified,pass,58,Examiner pages table of contents.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-034,hoeren,"[instructions, listening-sheet]",listening-comprehension,none,A1,verified,pass,266,Listening transcript Teil 1 example and items 1-3.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-035,hoeren,[listening-sheet],listening-comprehension,none,A1,verified,pass,157,Listening transcript items 4-6.,Hören
goethe-a1-sd1-exam-training-2,page-036,hoeren,"[exercise, listening-sheet]",listening-comprehension,none,A1,verified,pass,219,Listening transcript Teil 2 announcements items 7-10.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-037,hoeren,"[instructions, listening-sheet]",listening-comprehension,none,A1,verified,pass,241,Listening transcript Teil 3 messages items 11-15.,Hören
goethe-a1-sd1-exam-training-2,page-038,answer-key,[answer-key],answer-key,none,A1,verified,pass,354,"Answer key for Listening, Reading, Writing tasks.",18929
goethe-a1-sd1-exam-training-2,page-039,schreiben,"[answer-key, instructions]",answer-key,none,A1,verified,pass,93,Writing assessment criteria and scoring guide.,Schreiben
goethe-a1-sd1-exam-training-2,page-040,schreiben,"[writing-prompt, answer-key]",answer-key,communication,A1,verified,pass,266,Sample writing responses with awarded points.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-041,sprechen,"[instructions, speaking-prompt]",instructions,none,A1,verified,pass,220,Oral exam guidance and Teil 1 introduction script.,Sprechen
goethe-a1-sd1-exam-training-2,page-042,sprechen,"[speaking-prompt, instructions]",instructions,personal-info,A1,verified,pass,349,Oral exam script for spelling and Teil 2 information exchange.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-043,sprechen,"[instructions, speaking-prompt]",instructions,none,A1,verified,pass,178,Oral exam Teil 3 request-formulation guidance and closing.,Sprechen
goethe-a1-sd1-exam-training-2,page-044,sprechen,"[instructions, answer-key]",answer-key,none,A1,verified,pass,65,Speaking assessment criteria and scoring guide.,Start Deutsch 1
goethe-a1-sd1-exam-training-2,page-045,,[answer-key],answer-key,none,A1,verified,pass,562,"Answer sheet grid for Listening, Reading, Writing scoring.",Entwurf
goethe-a1-sd1-exam-training-2,page-046,schreiben,"[writing-prompt, answer-key]",answer-key,none,A1,verified,pass,100,Answer sheet for Writing Teil 2 text and scoring.,Entwurf
goethe-a1-sd1-exam-training-2,page-047,,[cover],cover,none,A1,verified,pass,15,Back cover with publisher address and ISBN.,Goethe-Institut e.V.
